repo,path,number_of_headings,language,cve_count
MicrosoftDocs/SupportArticles-docs,support/windows-client/windows-security/windows-security-overview.md,2,EN,0
connectedway/mbedtls,SECURITY.md,3,EN,0
katterianjali/Intern_mbedtls,SECURITY.md,3,EN,0
cncf/glossary,content/pt-br/cloud-native-security.md,3,PT,0
cncf/glossary,content/pt-br/transport-layer-security.md,3,PT,0
cncf/glossary,content/zh-cn/cloud-native-security.md,3,ZH,0
cncf/glossary,content/en/cloud-native-security.md,3,EN,0
cncf/glossary,content/bn/cloud-native-security.md,3,BN,0
opensearch-project/dashboards-anywhere,SECURITY.md,1,EN,0
ossf/scorecard,SECURITY.md,1,EN,0
spencerschrock/scorecard-test,SECURITY.md,1,EN,0
vmware-tanzu/kubeapps,site/content/docs/latest/project/security.md,0,EN,0
vmware-tanzu/kubeapps,SECURITY.md,1,EN,0
Msap82/Msap82,docs/guides/admin/docs/configuration/security.user.sakai.md,6,EN,0
Msap82/Msap82,docs/guides/admin/docs/configuration/security.ldap.md,0,EN,0
Msap82/Msap82,docs/guides/developer/docs/modules/stream-security.md,9,EN,0
Msap82/Msap82,docs/guides/admin/docs/modules/stream-security.md,12,EN,0
Msap82/Msap82,docs/guides/admin/docs/configuration/security.md,5,EN,0
Msap82/Msap82,docs/guides/admin/docs/configuration/security.user.moodle.md,7,EN,0
Msap82/Msap82,docs/guides/admin/docs/configuration/security.aai.md,0,EN,0
Msap82/Msap82,docs/guides/developer/docs/api/security-api.md,8,EN,0
Msap82/Msap82,docs/guides/admin/docs/configuration/security.user.brightspace.md,9,EN,0
Msap82/Msap82,docs/guides/admin/docs/configuration/security.cas.md,2,EN,0
Msap82/Msap82,docs/guides/developer/docs/security.md,0,EN,2
Msap82/Msap82,SECURITY.md,0,EN,0
Msap82/Msap82,docs/guides/admin/docs/configuration/stream-security.md,11,EN,0
opencast/opencast-admin-interface,docs/guides/admin/docs/configuration/security.user.sakai.md,6,EN,0
opencast/opencast-admin-interface,docs/guides/admin/docs/configuration/security.user.moodle.md,7,EN,0
opencast/opencast-admin-interface,docs/guides/admin/docs/configuration/security.user.canvas.md,7,EN,0
opencast/opencast-admin-interface,docs/guides/admin/docs/configuration/security.user.brightspace.md,8,EN,0
opencast/opencast-admin-interface,docs/guides/admin/docs/configuration/security.cas.md,2,EN,0
opencast/opencast-admin-interface,docs/guides/admin/docs/configuration/security.jwt.md,0,EN,0
opencast/opencast-admin-interface,docs/guides/admin/docs/configuration/security.md,5,EN,0
opencast/opencast-admin-interface,docs/guides/admin/docs/configuration/stream-security.md,11,EN,0
opencast/opencast-admin-interface,docs/guides/admin/docs/configuration/security.ldap.md,0,EN,0
opencast/opencast-admin-interface,docs/guides/developer/docs/modules/stream-security.md,9,EN,0
opencast/opencast-admin-interface,docs/guides/developer/docs/api/security-api.md,8,EN,0
opencast/opencast-admin-interface,docs/guides/admin/docs/modules/stream-security.md,12,EN,0
opencast/opencast-admin-interface,docs/guides/admin/docs/configuration/security.aai.md,0,EN,0
opencast/opencast-admin-interface,docs/guides/developer/docs/security.md,0,EN,2
opencast/opencast-admin-interface,SECURITY.md,0,EN,0
RomainBrault/python-whiteprint,docs/security.md,0,DE,0
RomainBrault/python-whiteprint,SECURITY.md,1,EN,0
lyz-code/blue-book,docs/devops/aws/security_groups.md,7,EN,0
davidght1/Mern-Blog,server/node_modules/express-fileupload/SECURITY.md,3,EN,0
davidght1/Mern-Blog,server/node_modules/tslib/SECURITY.md,4,EN,0
davidght1/Mern-Blog,server/node_modules/send/SECURITY.md,2,EN,0
davidght1/Mern-Blog,server/node_modules/raw-body/SECURITY.md,2,EN,0
davidght1/Mern-Blog,server/node_modules/mpath/SECURITY.md,1,EN,0
davidght1/Mern-Blog,server/node_modules/mongoose/SECURITY.md,0,EN,0
davidght1/Mern-Blog,server/node_modules/mquery/SECURITY.md,0,EN,0
davidght1/Mern-Blog,server/node_modules/cookie/SECURITY.md,2,EN,0
davidght1/Mern-Blog,server/node_modules/finalhandler/SECURITY.md,2,EN,0
davidght1/Mern-Blog,server/node_modules/body-parser/SECURITY.md,2,EN,0
hayate891/opencast,docs/guides/admin/docs/configuration/security.aai.md,0,EN,0
hayate891/opencast,docs/guides/developer/docs/modules/stream-security.md,8,EN,0
hayate891/opencast,docs/guides/admin/docs/configuration/security.cas.md,4,EN,0
hayate891/opencast,docs/guides/admin/docs/configuration/security.ldap.md,4,EN,0
hayate891/opencast,docs/guides/admin/docs/modules/stream-security.md,12,EN,0
hayate891/opencast,docs/guides/admin/docs/configuration/security.md,4,EN,0
hayate891/opencast,docs/guides/developer/docs/api/security-api.md,7,EN,0
hayate891/opencast,docs/guides/admin/docs/configuration/stream-security.md,11,EN,0
MaximilianKorn/opencastST,docs/guides/admin/docs/configuration/security.md,5,EN,0
MaximilianKorn/opencastST,docs/guides/admin/docs/configuration/security.cas.md,2,EN,0
MaximilianKorn/opencastST,docs/guides/admin/docs/configuration/stream-security.md,11,EN,0
MaximilianKorn/opencastST,docs/guides/admin/docs/configuration/security.user.sakai.md,6,EN,0
MaximilianKorn/opencastST,docs/guides/admin/docs/configuration/security.ldap.md,0,EN,0
MaximilianKorn/opencastST,docs/guides/developer/docs/modules/stream-security.md,9,EN,0
MaximilianKorn/opencastST,docs/guides/developer/docs/api/security-api.md,8,EN,0
MaximilianKorn/opencastST,docs/guides/admin/docs/modules/stream-security.md,12,EN,0
MaximilianKorn/opencastST,docs/guides/admin/docs/configuration/security.jwt.md,0,EN,0
MaximilianKorn/opencastST,docs/guides/admin/docs/configuration/security.aai.md,0,EN,0
MaximilianKorn/opencastST,docs/guides/admin/docs/configuration/security.user.canvas.md,7,EN,0
MaximilianKorn/opencastST,docs/guides/developer/docs/security.md,0,EN,2
MaximilianKorn/opencastST,docs/guides/admin/docs/configuration/security.user.moodle.md,7,EN,0
MaximilianKorn/opencastST,SECURITY.md,0,EN,0
MaximilianKorn/opencastST,docs/guides/admin/docs/configuration/security.user.brightspace.md,8,EN,0
gitrunners-com/benchmark-appsmith,SECURITY.md,2,EN,0
opencast/opencast,docs/guides/admin/docs/configuration/security.jwt.md,0,EN,0
opencast/opencast,docs/guides/admin/docs/configuration/security.user.sakai.md,6,EN,0
opencast/opencast,docs/guides/admin/docs/configuration/security.user.moodle.md,7,EN,0
opencast/opencast,docs/guides/admin/docs/configuration/security.user.canvas.md,7,EN,0
opencast/opencast,docs/guides/admin/docs/configuration/security.user.brightspace.md,8,EN,0
opencast/opencast,docs/guides/admin/docs/configuration/security.cas.md,2,EN,0
opencast/opencast,docs/guides/admin/docs/configuration/stream-security.md,11,EN,0
opencast/opencast,docs/guides/admin/docs/configuration/security.md,5,EN,0
opencast/opencast,SECURITY.md,0,EN,0
opencast/opencast,docs/guides/admin/docs/configuration/security.ldap.md,0,EN,0
opencast/opencast,docs/guides/admin/docs/modules/stream-security.md,12,EN,0
opencast/opencast,docs/guides/admin/docs/configuration/security.aai.md,0,EN,0
opencast/opencast,docs/guides/developer/docs/modules/stream-security.md,9,EN,0
opencast/opencast,docs/guides/developer/docs/api/security-api.md,8,EN,0
opencast/opencast,docs/guides/developer/docs/security.md,0,EN,2
harvard-dce/dce-opencast,docs/guides/admin/docs/configuration/security.ldap.md,4,EN,0
harvard-dce/dce-opencast,docs/guides/developer/docs/modules/stream-security.md,8,EN,0
harvard-dce/dce-opencast,docs/guides/admin/docs/configuration/security.cas.md,4,EN,0
harvard-dce/dce-opencast,docs/guides/admin/docs/modules/stream-security.md,12,EN,0
harvard-dce/dce-opencast,docs/guides/admin/docs/configuration/security.md,4,EN,0
harvard-dce/dce-opencast,docs/guides/developer/docs/api/security-api.md,7,EN,0
harvard-dce/dce-opencast,docs/guides/admin/docs/configuration/stream-security.md,11,EN,0
jaegertracing/jaeger,SECURITY.md,11,EN,0
MicrosoftDocs/azure-dev-docs,SECURITY.md,4,EN,0
MicrosoftDocs/azure-dev-docs,articles/java/sdk/security-samples.md,1,EN,0
MicrosoftDocs/azure-dev-docs,articles/java/migration/includes/account-for-the-use-of-custom-security-providers-and-jaas.md,1,EN,0
venkataswamyMedidi/Webflix,node_modules/node-sass/src/libsass/SECURITY.md,0,EN,0
bcelenza/aws-cwq,SECURITY.md,3,EN,0
EdmondFrank/gitlab,doc/user/project/security_dashboard.md,0,EN,0
EdmondFrank/gitlab,doc/gitlab-geo/security-review.md,0,EN,0
EdmondFrank/gitlab,doc/user/account/security.md,0,EN,0
EdmondFrank/gitlab,doc/administration/geo/replication/security_review.md,53,EN,0
EdmondFrank/gitlab,doc/development/fe_guide/security.md,6,EN,0
EdmondFrank/gitlab,.gitlab/merge_request_templates/Security%20Release.md,4,EN,0
EdmondFrank/gitlab,.gitlab/issue_templates/Security%20Release.md,7,EN,0
EdmondFrank/gitlab,.gitlab/issue_templates/Security%20developer%20workflow.md,8,EN,0
Dublez/zeebe,clients/go/vendor/google.golang.org/grpc/SECURITY.md,1,EN,2
Dublez/zeebe,SECURITY.md,1,EN,0
visnix/gitlab-foss,doc/development/fe_guide/security.md,8,EN,0
visnix/gitlab-foss,doc/administration/geo/replication/security_review.md,53,EN,0
visnix/gitlab-foss,.gitlab/issue_templates/Security%20developer%20workflow.md,8,EN,0
visnix/gitlab-foss,.gitlab/merge_request_templates/Security%20Release.md,4,EN,0
CSU-OSA/Akashic-git,doc/security/responding_to_security_incidents.md,3,EN,0
CSU-OSA/Akashic-git,doc/user/application_security/get-started-security.md,1,EN,0
CSU-OSA/Akashic-git,doc/development/fe_guide/security.md,8,EN,0
CSU-OSA/Akashic-git,doc/development/sec/security_report_ingestion_overview.md,9,EN,0
CSU-OSA/Akashic-git,doc/administration/geo/replication/security_review.md,53,EN,0
CSU-OSA/Akashic-git,.gitlab/issue_templates/Security%20developer%20workflow.md,8,EN,3
CSU-OSA/Akashic-git,.gitlab/merge_request_templates/Security%20Release.md,4,EN,0
carlos-wong/gitlab-ce-carlos,doc/user/project/security_dashboard.md,0,EN,0
carlos-wong/gitlab-ce-carlos,doc/gitlab-geo/security-review.md,0,EN,0
carlos-wong/gitlab-ce-carlos,doc/user/account/security.md,0,EN,0
carlos-wong/gitlab-ce-carlos,doc/development/fe_guide/security.md,6,EN,0
carlos-wong/gitlab-ce-carlos,doc/administration/geo/replication/security_review.md,53,EN,0
carlos-wong/gitlab-ce-carlos,.gitlab/issue_templates/Security%20Release.md,7,EN,0
carlos-wong/gitlab-ce-carlos,.gitlab/issue_templates/Security%20developer%20workflow.md,8,EN,0
carlos-wong/gitlab-ce-carlos,.gitlab/merge_request_templates/Security%20Release.md,4,EN,0
zero804/gitlab.community,doc/user/project/security_dashboard.md,0,EN,0
zero804/gitlab.community,doc/gitlab-geo/security-review.md,0,EN,0
zero804/gitlab.community,doc/user/account/security.md,0,EN,0
zero804/gitlab.community,doc/administration/geo/replication/security_review.md,53,EN,0
zero804/gitlab.community,doc/development/fe_guide/security.md,6,EN,0
zero804/gitlab.community,.gitlab/merge_request_templates/Security%20Release.md,4,EN,0
zero804/gitlab.community,.gitlab/issue_templates/Security%20Release.md,7,EN,0
zero804/gitlab.community,.gitlab/issue_templates/Security%20developer%20workflow.md,8,EN,0
luca-bassoricci/gitlab,doc/development/fe_guide/security.md,8,EN,0
luca-bassoricci/gitlab,doc/administration/geo/replication/security_review.md,53,EN,0
luca-bassoricci/gitlab,.gitlab/merge_request_templates/Security%20Release.md,4,EN,0
luca-bassoricci/gitlab,.gitlab/issue_templates/Security%20developer%20workflow.md,8,EN,0
gitlabhq/gitlabhq,doc/user/application_security/get-started-security.md,1,EN,0
gitlabhq/gitlabhq,.gitlab/issue_templates/Security%20developer%20workflow.md,8,EN,3
gitlabhq/gitlabhq,doc/development/sec/security_report_ingestion_overview.md,9,EN,0
gitlabhq/gitlabhq,doc/administration/geo/replication/security_review.md,53,EN,0
gitlabhq/gitlabhq,doc/security/responding_to_security_incidents.md,3,EN,0
gitlabhq/gitlabhq,.gitlab/merge_request_templates/Security%20Release.md,4,EN,0
gitlabhq/gitlabhq,doc/development/fe_guide/security.md,8,EN,0
yanghonggang/gitlab,doc/user/project/security_dashboard.md,0,EN,0
yanghonggang/gitlab,doc/gitlab-geo/security-review.md,0,EN,0
yanghonggang/gitlab,doc/user/account/security.md,0,EN,0
yanghonggang/gitlab,doc/administration/geo/replication/security_review.md,53,EN,0
yanghonggang/gitlab,doc/development/fe_guide/security.md,6,EN,0
yanghonggang/gitlab,.gitlab/merge_request_templates/Security%20Release.md,4,EN,0
yanghonggang/gitlab,.gitlab/issue_templates/Security%20Release.md,7,EN,0
yanghonggang/gitlab,.gitlab/issue_templates/Security%20developer%20workflow.md,8,EN,0
CONIGUERO/gitlab,doc/user/project/security_dashboard.md,0,EN,0
CONIGUERO/gitlab,doc/gitlab-geo/security-review.md,0,EN,0
CONIGUERO/gitlab,doc/user/account/security.md,0,EN,0
CONIGUERO/gitlab,doc/administration/geo/replication/security_review.md,53,EN,0
CONIGUERO/gitlab,doc/development/fe_guide/security.md,6,EN,0
CONIGUERO/gitlab,.gitlab/merge_request_templates/Security%20Release.md,4,EN,0
CONIGUERO/gitlab,.gitlab/issue_templates/Security%20Release.md,7,EN,0
CONIGUERO/gitlab,.gitlab/issue_templates/Security%20developer%20workflow.md,8,EN,0
rnveach/gitlab,doc/user/project/security_dashboard.md,0,EN,0
rnveach/gitlab,doc/gitlab-geo/security-review.md,0,EN,0
rnveach/gitlab,doc/user/account/security.md,0,EN,0
rnveach/gitlab,doc/administration/geo/replication/security_review.md,53,EN,0
rnveach/gitlab,doc/development/fe_guide/security.md,6,EN,0
rnveach/gitlab,.gitlab/merge_request_templates/Security%20Release.md,4,EN,0
rnveach/gitlab,.gitlab/issue_templates/Security%20Release.md,7,EN,0
rnveach/gitlab,.gitlab/issue_templates/Security%20developer%20workflow.md,8,EN,0
minshi123/gitlab,doc/user/project/security_dashboard.md,0,EN,0
minshi123/gitlab,doc/gitlab-geo/security-review.md,0,EN,0
minshi123/gitlab,doc/user/account/security.md,0,EN,0
minshi123/gitlab,doc/development/fe_guide/security.md,6,EN,0
minshi123/gitlab,doc/administration/geo/replication/security_review.md,53,EN,0
minshi123/gitlab,.gitlab/issue_templates/Security%20Release.md,7,EN,0
minshi123/gitlab,.gitlab/merge_request_templates/Security%20Release.md,4,EN,0
minshi123/gitlab,.gitlab/issue_templates/Security%20developer%20workflow.md,8,EN,0
fxiao/gitlab,doc/user/project/security_dashboard.md,0,EN,0
fxiao/gitlab,doc/gitlab-geo/security-review.md,0,EN,0
fxiao/gitlab,doc/user/account/security.md,0,EN,0
fxiao/gitlab,doc/administration/geo/replication/security_review.md,53,EN,0
fxiao/gitlab,doc/development/fe_guide/security.md,6,EN,0
fxiao/gitlab,.gitlab/merge_request_templates/Security%20Release.md,4,EN,0
fxiao/gitlab,.gitlab/merge_request_templates/Security%20Release.md,4,EN,0
fxiao/gitlab,.gitlab/issue_templates/Security%20Release.md,7,EN,0
fxiao/gitlab,.gitlab/issue_templates/Security%20developer%20workflow.md,8,EN,0
rajumukkisa1/tested,doc/administration/geo/replication/security_review.md,53,EN,0
rajumukkisa1/tested,doc/development/fe_guide/security.md,8,EN,0
rajumukkisa1/tested,.gitlab/merge_request_templates/Security%20Release.md,4,EN,0
rajumukkisa1/tested,.gitlab/issue_templates/Security%20developer%20workflow.md,8,EN,0
gitgov-dev/gitgov_rails,doc/user/project/security_dashboard.md,0,EN,0
gitgov-dev/gitgov_rails,doc/gitlab-geo/security-review.md,0,EN,0
gitgov-dev/gitgov_rails,doc/development/fe_guide/security.md,6,EN,0
gitgov-dev/gitgov_rails,doc/user/account/security.md,0,EN,0
gitgov-dev/gitgov_rails,doc/administration/geo/replication/security_review.md,53,EN,0
gitgov-dev/gitgov_rails,.gitlab/merge_request_templates/Security%20Release.md,4,EN,0
gitgov-dev/gitgov_rails,.gitlab/issue_templates/Security%20Release.md,7,EN,0
gitgov-dev/gitgov_rails,.gitlab/issue_templates/Security%20developer%20workflow.md,8,EN,0
knkgun/GitLab,doc/user/project/security_dashboard.md,0,EN,0
knkgun/GitLab,doc/gitlab-geo/security-review.md,0,EN,0
knkgun/GitLab,doc/user/account/security.md,0,EN,0
knkgun/GitLab,doc/administration/geo/replication/security_review.md,53,EN,0
knkgun/GitLab,doc/development/fe_guide/security.md,6,EN,0
knkgun/GitLab,.gitlab/merge_request_templates/Security%20Release.md,4,EN,0
knkgun/GitLab,.gitlab/issue_templates/Security%20Release.md,7,EN,0
knkgun/GitLab,.gitlab/issue_templates/Security%20developer%20workflow.md,8,EN,0
samg/a-gl,doc/development/fe_guide/security.md,8,EN,0
samg/a-gl,doc/administration/geo/replication/security_review.md,53,EN,0
samg/a-gl,.gitlab/merge_request_templates/Security%20Release.md,4,EN,0
samg/a-gl,.gitlab/issue_templates/Security%20developer%20workflow.md,8,EN,0
afdafdas/gitlab-test,doc/security/responding_to_security_incidents.md,3,EN,0
afdafdas/gitlab-test,doc/user/application_security/get-started-security.md,1,EN,0
afdafdas/gitlab-test,doc/development/fe_guide/security.md,8,EN,0
afdafdas/gitlab-test,doc/development/sec/security_report_ingestion_overview.md,9,EN,0
afdafdas/gitlab-test,doc/administration/geo/replication/security_review.md,53,EN,0
afdafdas/gitlab-test,.gitlab/issue_templates/Security%20developer%20workflow.md,8,EN,3
afdafdas/gitlab-test,.gitlab/merge_request_templates/Security%20Release.md,4,EN,0
nickbrandt/GitLab,doc/user/project/security_dashboard.md,0,EN,0
nickbrandt/GitLab,doc/gitlab-geo/security-review.md,0,EN,0
nickbrandt/GitLab,doc/user/account/security.md,0,EN,0
nickbrandt/GitLab,doc/administration/geo/replication/security_review.md,53,EN,0
nickbrandt/GitLab,doc/development/fe_guide/security.md,6,EN,0
nickbrandt/GitLab,.gitlab/merge_request_templates/Security%20Release.md,4,EN,0
nickbrandt/GitLab,.gitlab/issue_templates/Security%20Release.md,7,EN,0
nickbrandt/GitLab,.gitlab/issue_templates/Security%20developer%20workflow.md,8,EN,0
myersg86/gitlab,doc/user/project/security_dashboard.md,0,EN,0
myersg86/gitlab,doc/gitlab-geo/security-review.md,0,EN,0
myersg86/gitlab,doc/user/account/security.md,0,EN,0
myersg86/gitlab,doc/administration/geo/replication/security_review.md,53,EN,0
myersg86/gitlab,doc/development/fe_guide/security.md,6,EN,0
myersg86/gitlab,.gitlab/merge_request_templates/Security%20Release.md,4,EN,0
myersg86/gitlab,.gitlab/issue_templates/Security%20Release.md,7,EN,0
myersg86/gitlab,.gitlab/issue_templates/Security%20developer%20workflow.md,8,EN,0
nowkoai/test,doc/development/fe_guide/security.md,8,EN,0
nowkoai/test,doc/administration/geo/replication/security_review.md,53,EN,0
nowkoai/test,.gitlab/merge_request_templates/Security%20Release.md,4,EN,0
nowkoai/test,.gitlab/issue_templates/Security%20developer%20workflow.md,8,EN,3
terrchen/gitlab,doc/administration/geo/replication/security_review.md,53,EN,0
terrchen/gitlab,doc/development/fe_guide/security.md,7,EN,0
terrchen/gitlab,.gitlab/issue_templates/Security%20developer%20workflow.md,8,EN,0
terrchen/gitlab,.gitlab/merge_request_templates/Security%20Release.md,4,EN,0
skipmaple/gitchinalab,doc/user/project/security_dashboard.md,0,EN,0
skipmaple/gitchinalab,doc/gitlab-geo/security-review.md,0,EN,0
skipmaple/gitchinalab,doc/user/account/security.md,0,EN,0
skipmaple/gitchinalab,doc/administration/geo/replication/security_review.md,53,EN,0
skipmaple/gitchinalab,doc/development/fe_guide/security.md,6,EN,0
skipmaple/gitchinalab,.gitlab/merge_request_templates/Security%20Release.md,4,EN,0
skipmaple/gitchinalab,.gitlab/issue_templates/Security%20Release.md,7,EN,0
skipmaple/gitchinalab,.gitlab/issue_templates/Security%20developer%20workflow.md,8,EN,0
lfuelling/gitlab,doc/user/project/security_dashboard.md,0,EN,0
lfuelling/gitlab,doc/user/account/security.md,0,EN,0
lfuelling/gitlab,doc/administration/geo/replication/security_review.md,53,EN,0
lfuelling/gitlab,doc/development/fe_guide/security.md,7,EN,0
lfuelling/gitlab,.gitlab/merge_request_templates/Security%20Release.md,4,EN,0
lfuelling/gitlab,.gitlab/issue_templates/Security%20developer%20workflow.md,8,EN,0
rocLv/gitlab,doc/user/project/security_dashboard.md,0,EN,0
rocLv/gitlab,doc/gitlab-geo/security-review.md,0,EN,0
rocLv/gitlab,doc/user/account/security.md,0,EN,0
rocLv/gitlab,doc/administration/geo/replication/security_review.md,53,EN,0
rocLv/gitlab,doc/development/fe_guide/security.md,6,EN,0
rocLv/gitlab,.gitlab/merge_request_templates/Security%20Release.md,4,EN,0
rocLv/gitlab,.gitlab/issue_templates/Security%20Release.md,7,EN,0
rocLv/gitlab,.gitlab/issue_templates/Security%20developer%20workflow.md,8,EN,0
googleapis/gapic-generator-php,SECURITY.md,1,EN,0
lunaisnotaboy/gitlab,doc/user/project/security_dashboard.md,0,EN,0
lunaisnotaboy/gitlab,doc/gitlab-geo/security-review.md,0,EN,0
lunaisnotaboy/gitlab,doc/user/account/security.md,0,EN,0
lunaisnotaboy/gitlab,doc/administration/geo/replication/security_review.md,53,EN,0
lunaisnotaboy/gitlab,doc/development/fe_guide/security.md,6,EN,0
lunaisnotaboy/gitlab,.gitlab/merge_request_templates/Security%20Release.md,4,EN,0
lunaisnotaboy/gitlab,.gitlab/issue_templates/Security%20Release.md,7,EN,0
lunaisnotaboy/gitlab,.gitlab/issue_templates/Security%20developer%20workflow.md,8,EN,0
DanPoliseno/g2,doc/user/project/security_dashboard.md,0,EN,0
DanPoliseno/g2,doc/gitlab-geo/security-review.md,0,EN,0
DanPoliseno/g2,doc/user/account/security.md,0,EN,0
DanPoliseno/g2,doc/administration/geo/replication/security_review.md,53,EN,0
DanPoliseno/g2,doc/development/fe_guide/security.md,6,EN,0
DanPoliseno/g2,.gitlab/merge_request_templates/Security%20Release.md,4,EN,0
DanPoliseno/g2,.gitlab/issue_templates/Security%20Release.md,7,EN,0
DanPoliseno/g2,.gitlab/issue_templates/Security%20developer%20workflow.md,8,EN,0
42Atomys/stud42,SECURITY.md,3,EN,0
dm-kat/manual-clone,doc/security/responding_to_security_incidents.md,3,EN,0
dm-kat/manual-clone,doc/user/application_security/get-started-security.md,1,EN,0
dm-kat/manual-clone,doc/administration/geo/replication/security_review.md,53,EN,0
dm-kat/manual-clone,doc/development/fe_guide/security.md,8,EN,0
dm-kat/manual-clone,.gitlab/merge_request_templates/Security%20Release.md,4,EN,0
dm-kat/manual-clone,.gitlab/issue_templates/Security%20developer%20workflow.md,8,EN,3
Esri/calcite-components,SECURITY.md,3,EN,0
Automattic/jetpack-storybook,SECURITY.md,4,EN,0
Automattic/jetpack-production,jetpack_vendor/automattic/jetpack-ip/SECURITY.md,4,EN,0
Automattic/jetpack-production,jetpack_vendor/automattic/jetpack-import/SECURITY.md,4,EN,0
Automattic/jetpack-production,jetpack_vendor/automattic/jetpack-forms/SECURITY.md,4,EN,0
Automattic/jetpack-production,jetpack_vendor/automattic/jetpack-blaze/SECURITY.md,4,EN,0
Automattic/jetpack-production,jetpack_vendor/automattic/jetpack-stats-admin/SECURITY.md,4,EN,0
Automattic/jetpack-production,jetpack_vendor/automattic/jetpack-options/SECURITY.md,4,EN,0
Automattic/jetpack-production,jetpack_vendor/automattic/jetpack-stats/SECURITY.md,4,EN,0
Automattic/jetpack-production,jetpack_vendor/automattic/jetpack-action-bar/SECURITY.md,4,EN,0
Automattic/jetpack-production,jetpack_vendor/automattic/jetpack-post-list/SECURITY.md,4,EN,0
Automattic/jetpack-production,vendor/automattic/jetpack-plans/SECURITY.md,4,EN,0
Automattic/jetpack-production,jetpack_vendor/automattic/jetpack-videopress/SECURITY.md,4,EN,0
Automattic/jetpack-production,jetpack_vendor/automattic/jetpack-waf/SECURITY.md,4,EN,0
Automattic/jetpack-production,jetpack_vendor/automattic/jetpack-google-fonts-provider/SECURITY.md,4,EN,0
Automattic/jetpack-production,jetpack_vendor/automattic/jetpack-redirect/SECURITY.md,4,EN,0
Automattic/jetpack-production,jetpack_vendor/automattic/jetpack-wordads/SECURITY.md,4,EN,0
Automattic/jetpack-production,jetpack_vendor/automattic/jetpack-partner/SECURITY.md,4,EN,0
Automattic/jetpack-production,jetpack_vendor/automattic/jetpack-jitm/SECURITY.md,4,EN,0
Automattic/jetpack-production,jetpack_vendor/automattic/jetpack-identity-crisis/SECURITY.md,4,EN,0
Automattic/jetpack-production,jetpack_vendor/automattic/jetpack-backup/SECURITY.md,4,EN,0
Automattic/jetpack-production,jetpack_vendor/automattic/jetpack-abtest/SECURITY.md,4,EN,0
Automattic/jetpack-production,jetpack_vendor/automattic/jetpack-connection/SECURITY.md,4,EN,0
Automattic/jetpack-production,jetpack_vendor/automattic/jetpack-licensing/SECURITY.md,4,EN,0
Automattic/jetpack-production,jetpack_vendor/automattic/jetpack-logo/SECURITY.md,4,EN,0
Automattic/jetpack-production,jetpack_vendor/automattic/jetpack-lazy-images/SECURITY.md,4,EN,0
Automattic/jetpack-production,SECURITY.md,4,EN,0
Automattic/jetpack-production,jetpack_vendor/automattic/jetpack-admin-ui/SECURITY.md,4,EN,0
Automattic/jetpack-production,jetpack_vendor/automattic/jetpack-plugins-installer/SECURITY.md,4,EN,0
Automattic/jetpack-production,jetpack_vendor/automattic/jetpack-compat/SECURITY.md,4,EN,0
Automattic/jetpack-production,jetpack_vendor/automattic/jetpack-assets/SECURITY.md,4,EN,0
Automattic/jetpack-production,jetpack_vendor/automattic/jetpack-a8c-mc-stats/SECURITY.md,4,EN,0
meilisearch/meilisearch,SECURITY.md,4,EN,0
aijamalnk/istio.io-design-and-dev,content/zh/boilerplates/helm-security-warning.md,0,ZH,0
aijamalnk/istio.io-design-and-dev,content/en/boilerplates/security-vulnerability.md,1,EN,0
aijamalnk/istio.io-design-and-dev,content/zh/boilerplates/security-vulnerability.md,1,ZH,0
aijamalnk/istio.io-design-and-dev,content/en/boilerplates/helm-security-warning.md,0,EN,0
goreleaser/goreleaser,www/docs/security.md,3,EN,0
goreleaser/goreleaser,SECURITY.md,3,EN,0
quentinrossetti/node-7z,SECURITY.md,0,EN,0
fizban007/Aperture4,deps/catch/SECURITY.md,3,EN,0
fizban007/Aperture4,deps/gsl/SECURITY.md,4,EN,0
clcmo/dev,docs/SECURITY.md,3,EN,0
Kareadita/Kavita,SECURITY.md,3,EN,0
AncientCatz/Kavita,SECURITY.md,3,EN,0
osisoft/PI-Adapter-DNP3-Docs,content/configuration/security-dnp3.md,2,EN,0
balabit-deps/balabit-os-9-samba,SECURITY.md,4,EN,0
circleci/circleci-docs,jekyll/_cci2/security.md,4,EN,0
circleci/circleci-docs,jekyll/_cci2_ja/security-supply-chain.md,7,JA,0
circleci/circleci-docs,jekyll/_cci2_ja/security-recommendations.md,12,JA,0
circleci/circleci-docs,jekyll/_cci2_ja/security.md,4,JA,0
circleci/circleci-docs,jekyll/_cci2/security-recommendations.md,12,EN,0
circleci/circleci-docs,jekyll/_cci2/security-supply-chain.md,7,EN,0
circleci/circleci-docs,jekyll/archived/_cci1/github-security-ssh-keys.md,0,EN,0
circleci/circleci-docs,jekyll/archived/_cci1/privacy-security.md,0,EN,0
circleci/circleci-docs,jekyll/archived/_archive/github-security-ssh-keys.md,0,EN,0
circleci/circleci-docs,jekyll/archived/_ccie/security.md,4,EN,0
circleci/circleci-docs,jekyll/archived/_archive/privacy-security.md,0,EN,0
adellpennyziaw/cop-nhat,jekyll/_cci2/security.md,8,EN,0
adellpennyziaw/cop-nhat,jekyll/_cci2_ja/security-supply-chain.md,7,JA,0
adellpennyziaw/cop-nhat,jekyll/_cci2/security-recommendations.md,15,EN,0
adellpennyziaw/cop-nhat,jekyll/_cci2_ja/security-recommendations.md,15,JA,0
